,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
7542,wilsohe01,1898,1,BLN,NL,1,2,0,0,0,0,0,0.0,0.0,,1,,,0.0,0.0,,
7574,brodist01,1899,1,BLN,NL,137,531,82,164,26,1,3,87.0,19.0,,31,,,23.0,17.0,,
7609,crishpa01,1899,1,BLN,NL,53,172,23,50,5,3,0,20.0,4.0,,4,,,1.0,1.0,,
7629,demonge01,1899,2,BLN,NL,60,240,40,67,13,4,1,36.0,21.0,,10,,,2.0,5.0,,
7671,fultzda01,1899,2,BLN,NL,57,210,31,62,3,2,0,18.0,17.0,,13,,,2.0,6.0,,
7691,harrich01,1899,1,BLN,NL,30,68,16,19,3,0,0,1.0,4.0,,3,,,1.0,1.0,,
7703,hillbi01,1899,2,BLN,NL,8,24,2,7,0,0,0,4.0,0.0,,2,,,0.0,0.0,,
7706,holmedu01,1899,1,BLN,NL,138,553,80,177,31,7,4,66.0,50.0,,39,,,15.0,16.0,,
7708,howelha01,1899,1,BLN,NL,28,82,4,12,2,2,0,3.0,0.0,,3,,,2.0,3.0,,
7716,jennihu01,1899,2,BLN,NL,2,8,2,3,0,2,0,2.0,0.0,,0,,,0.0,0.0,,
7724,keistbi01,1899,1,BLN,NL,136,523,96,172,22,16,3,73.0,33.0,,16,,,16.0,8.0,,
7731,kitsofr01,1899,1,BLN,NL,45,134,12,27,7,1,0,8.0,7.0,,6,,,1.0,1.0,,
7739,lachaca01,1899,1,BLN,NL,125,472,65,145,23,10,1,75.0,31.0,,21,,,10.0,5.0,,
7757,magooge01,1899,1,BLN,NL,62,207,26,53,8,3,0,31.0,7.0,,26,,,5.0,5.0,,
7774,mcginjo01,1899,1,BLN,NL,50,145,21,28,0,0,0,10.0,4.0,,5,,,2.0,5.0,,
7775,mcgrajo01,1899,1,BLN,NL,117,399,140,156,13,3,1,33.0,73.0,,124,,,14.0,2.0,,
7780,mckenki01,1899,1,BLN,NL,9,17,1,1,1,0,0,0.0,0.0,,3,,,1.0,0.0,,
7792,millera01,1899,1,BLN,NL,6,11,4,2,1,1,0,2.0,0.0,,3,,,1.0,0.0,,
7795,nopsje01,1899,1,BLN,NL,34,105,6,29,2,0,0,12.0,0.0,,2,,,1.0,0.0,,
7797,obriejo02,1899,1,BLN,NL,39,135,14,26,4,0,1,17.0,4.0,,15,,,2.0,3.0,,
7826,robinwi01,1899,1,BLN,NL,108,356,40,101,15,2,0,47.0,5.0,,31,,,2.0,6.0,,
7828,rothebo01,1899,1,BLN,NL,10,21,1,2,0,0,0,3.0,0.0,,1,,,0.0,1.0,,
7829,ryanja01,1899,1,BLN,NL,2,4,0,2,1,0,0,1.0,1.0,,0,,,0.0,0.0,,
7841,sheckji01,1899,1,BLN,NL,147,536,104,158,18,10,3,75.0,77.0,,56,,,18.0,6.0,,
7844,smithal01,1899,2,BLN,NL,41,120,17,46,6,4,0,25.0,7.0,,4,,,3.0,3.0,,
