author,rank,contributions
stephen castle,265,55
elizabeth harris,266,55
david gonzalez,267,55
eric pfanner,268,54
jim dwyer,269,54
juliet macur,270,54
zach schonbrun,271,54
rachel donadio,272,54
jeffrey gettleman,273,54
jonah bromwich,274,53
eric asimov,275,53
danny hakim,276,53
david pogue,277,53
lawrence ulrich,278,53
david barboza,279,53
tom kuntz,280,53
stephanie clifford,281,53
margaret sullivan,282,52
landon thomas,283,52
mike isaac,284,52
kirk johnson,285,52
alison smale,286,52
andrew jacobs,287,52
david gelles,288,52
rob mahoney,289,52
jonathan abrams,290,52
mike tanier,291,52
elisabeth bumiller,292,52
gardiner harris,293,51
amie tsang,294,51
vivian yee,295,51
gretchen reynolds,296,51
michelle higgins,297,51
nicholas kulish,298,51
michael schwirtz,299,51
vivien schweitzer,300,51
edward wyatt,301,51
liz alderman,302,51
peter eavis,303,51
joe nocera,304,51
christine haughney,305,50
fernanda santos,306,50
annie correal,307,50
neil macfarquhar,308,50
martin fackler,309,50
pete wells,310,50
michael powell,311,50
michael wines,312,50
douglas martin,313,50
mark viera,314,50
dwight garner,315,50
rod nordland,316,50
peter henning,317,50
victor mather,318,50
kim severson,319,49
adam kepler,320,49
holland cotter,321,49
alan blinder,322,49
david streitfeld,323,49
joseph goldstein,324,49
phil patton,325,49
a. sulzberger,326,49
jeré longman,327,49
james estrin,328,49
kate zernike,329,49
salman masood,330,48
sabrina tavernise,331,48
melissa clark,332,48
clyde haberman,333,48
anemona hartocollis,334,48
michael paulson,335,48
elisabetta povoledo,336,47
nathaniel popper,337,47
joe coscarelli,338,47
jim motavalli,339,47
harvey morris,340,47
michael wilson,341,47
david firestone,342,47
justin sablich,343,47
steven greenhouse,344,47
thomas erdbrink,345,47
john schwartz,346,46
jad mouawad,347,46
steve smith,348,46
dennis hevesi,349,46
john leland,350,45
charles bagli,351,45
didi tatlow,352,45
brian seibert,353,45
suzy menkes,354,45
gretchen morgenson,355,45
erik eckholm,356,45
jack healy,357,45
rob hughes,358,45
jess bidgood,359,45
roni rabin,360,44
winnie hu,361,44
stu hackel,362,44
kevin tachman,363,44
sarah wheaton,364,44
vivian marino,365,44
marc lacey,366,44
coral davenport,367,44
jennifer medina,368,44
declan walsh,369,44
james kanter,370,44
henry fountain,371,44
thomas friedman,372,44
richard oppel,373,43
tim rohan,374,43
leslie kaufman,375,43
tim mckeough,376,43
maureen dowd,377,42
pat borzi,378,42
axel gerdau,379,42
william yardley,380,42
heather timmons,381,42
philip galanes,382,42
jada smith,383,42
eric lipton,384,42
felicia lee,385,42
kerri macdonald,386,42
katrin bennhold,387,42
julie bloom,388,42
ben hubbard,389,42
raphael minder,390,42
thom shanker,391,42
stephen williams,392,42
adeel hassan,393,42
tara bernard,394,41
scott shane,395,41
martha schwendener,396,41
nick bunkley,397,41
jacques steinberg,398,41
tammy la gorce,399,41
matthew rosenberg,400,41
laurel graeber,401,41
elisabeth malkin,402,41
janet maslin,403,41
christopher botta,404,40
stephanie strom,405,40
rick rojas,406,40
jennifer preston,407,40
matthew goldstein,408,40
gerry mullany,409,40
julia preston,410,40
timothy egan,411,40
lois desocio,412,40
nick cumming-bruce,413,40
joshua barone,414,39
michiko kakutani,415,39
mark mcdonald,416,39
neil gough,417,39
vikas bajaj,418,39
hari kumar,419,39
alexis soloski,420,39
melissa eddy,421,39
joyce cohen,422,39
kit eaton,423,39
james oestreich,424,38
annie lowrey,425,38
anthony shadid,426,38
allan kreda,427,38
matt apuzzo,428,38
jason zinoman,429,38
campbell robertson,430,38
ian lovett,431,38
carl richards,432,38
stephen farrell,433,38
maïa de la baume,434,38
rosalie radomsky,435,38
gene marks,436,38
mireya navarro,437,38
jane brody,438,37
tiffany frasier,439,37
ethan bronner,440,37
claudia la rocco,441,37
tim arango,442,37
c. hughes,443,37
mike powell,444,37
kate murphy,445,36
mary walsh,446,36
natasha singer,447,36
andy webster,448,36
ginia bellafante,449,36
lisa foderaro,450,36
george vecsey,451,36
matthew schneier,452,36
gregory cowles,453,36
adam bryant,454,36
javier hernandez,455,36
emily steel,456,36
peter may,457,36
elaisha stokes,458,35
shayla harris,459,35
andy benoit,460,35
justin gillis,461,35
kirk semple,462,35
karen zraick,463,35
yamiche alcindor,464,35
sarah lyall,465,35
karen rosenberg,466,35
stanley reed,467,35
nate schweber,468,34
denise grady,469,34
james gorman,470,34
timothy williams,471,34
sandra stevenson,472,34
christopher drew,473,34
william rashbaum,474,34
robin finn,475,34
alan feuer,476,34
c. ray,477,34
benjamin mueller,478,34
damien cave,479,33
carrie halperin,480,33
glenn collins,481,33
kassie bracken,482,33
miguel helft,483,33
benjamin toff,484,33
mark kantrowitz,485,33
mitch smith,486,33
randal archibold,487,33
david tanis,488,33
marc tracy,489,33
ariel kaminer,490,33
janie lorber,491,33
lizette alvarez,492,33
nick fox,493,33
nicolas rapold,494,32
john rudolf,495,32
alexandra stevenson,496,32
paul sullivan,497,32
richard goldstein,498,32
bob tedeschi,499,32
andrew martin,500,32
joanna nikas,501,32
michelle quinn,502,32
