Job Family,Employee Identifier,Salaries,Overtime,Total Compensation,Total Benefits,Percentage Benefits
Med Therapy & Auxiliary,6955,17861.646666666667,1527.1000000000001,32103.916666666668,11442.359999999999,0.3564163251109028
Street Transit,49815,29365.17,3405.31,52027.86,18541.7,0.3563802162918098
Street Transit,11062,30756.47333333334,2980.5266666666666,53348.74333333334,19012.383333333335,0.35637921618022494
Street Transit,26547,26681.910000000003,2377.353333333333,46550.006666666675,16589.356666666667,0.3563771061400492
Street Transit,8949,34743.46,4599.27,61909.02,22060.21,0.35633272825187673
Street Transit,26296,22840.989999999998,2544.725,40963.53,14596.645,0.35633269398413664
Street Transit,14999,34976.23333333333,3780.3366666666666,61030.829999999994,21746.26,0.35631597997274495
Street Transit,7803,30529.07,3369.64,55850.89,19900.02,0.35630622896072023
Street Transit,52180,35537.165,3355.73,62284.055,22190.4,0.35627738110500357
Street Transit,25016,33413.075,3258.13,58637.604999999996,20889.225,0.3562428069836754
Street Transit,15072,38505.55,3959.54,67525.15,24055.16,0.3562400083524435
Street Transit,41585,32561.426666666666,2851.6000000000004,57101.460000000014,20341.656666666666,0.35623706761029683
Med Therapy & Auxiliary,38550,41626.765,2306.24,71771.68,25566.335,0.35621759167404193
Street Transit,16804,33846.35333333333,3600.806666666667,59323.57333333333,21127.63666666667,0.35614234746030143
Street Transit,37897,39041.365000000005,4060.255,68573.01999999999,24420.67,0.35612650573067955
Street Transit,1469,29925.203333333335,3785.8266666666664,53194.95666666667,18943.97333333333,0.3561234846386126
Street Transit,29451,45679.67,4587.77,79376.545,28267.61,0.3561204383486331
Street Transit,41535,32999.490000000005,3489.505,57686.685,20543.375,0.3561198741095974
Street Transit,11428,37389.926666666666,3386.0499999999997,65957.75333333334,23488.12,0.3561085515041294
Street Transit,47731,37834.28,4037.7266666666674,66134.08,23549.52666666667,0.35608761272050155
Street Transit,1173,40921.23,4006.2650000000003,71285.08499999999,25382.940000000002,0.35607644993339077
Street Transit,14606,36243.56,3816.705,63462.145,22596.38,0.3560607666192185
Street Transit,12340,28697.175000000003,3966.63,52156.995,18569.585,0.3560324938198606
Street Transit,33072,38922.135,4379.055,68130.20999999999,24255.295,0.35601380063264154
Street Transit,37609,35376.07,3709.26,61872.385,22026.975,0.3560065609237465
Street Transit,15366,35259.14333333333,3146.06,62735.56666666667,22334.183333333334,0.3560051262787138
Street Transit,21321,39403.48,3736.0399999999995,68584.31333333334,24416.170000000002,0.3560022520212834
Street Transit,49468,34764.97666666666,3482.4499999999994,60934.56333333333,21691.573333333334,0.35598143560450013
Street Transit,8545,37256.79,3367.645,65791.325,23419.09,0.35596015128134295
Street Transit,22099,33708.74333333333,3283.23,59053.19999999999,21019.823333333334,0.3559472362773455
Street Transit,52161,28321.29,3012.985,49682.195,17684.015,0.355942707442777
Street Transit,36978,30613.18,2950.9700000000003,53639.495,19092.58,0.3559425755220104
Street Transit,26610,25555.16,2563.885,45304.35,16124.265,0.35590986296017935
Street Transit,34166,42983.615000000005,5625.505,76764.855,27317.05,0.3558535999318959
