Job Family,Employee Identifier,Salaries,Overtime,Total Compensation,Total Benefits,Percentage Benefits
Street Transit,54101,63425.3625,7177.975,111417.595,36765.4525,0.32997887362404477
Street Transit,28076,69473.115,7766.517499999999,120187.98,39659.189999999995,0.32997634206016274
Street Transit,29020,43405.36,11437.905,84150.38500000001,27766.28,0.3299602253750829
Street Transit,43500,60078.2775,3775.8025000000002,98868.42749999999,32617.732500000002,0.32991050150969586
Street Transit,9495,68198.1075,7832.5075,116459.7575,38421.2125,0.3299097759155131
Street Transit,51175,43329.395,5042.88,73794.2825,24344.9175,0.32990248939679034
Street Transit,25053,60024.36,4872.3575,97970.92750000002,32316.692499999997,0.32986002403621206
Street Transit,32616,43220.1525,3830.63,70915.97750000001,23391.665,0.3298504205205378
Street Transit,36526,68251.41249999999,6454.2575,117922.8125,38894.55,0.3298305830349832
Energy & Environment,37301,27059.35,1750.565,43219.5,14254.41,0.32981431992503385
Street Transit,43746,57377.142499999994,5405.1825,98871.295,32605.890000000003,0.32978115640136
Street Transit,54413,68776.22499999999,7608.759999999999,119381.035,39366.8975,0.3297583866650176
Street Transit,17888,47874.22,7035.9775,83456.70749999999,27519.894999999997,0.32975054761176625
Street Transit,12422,43025.23333333334,6469.23,76501.12000000001,25225.036666666667,0.32973421391303376
Dietary & Food,11779,49160.175,6813.805,88365.05249999999,29135.1475,0.32971346336267954
Street Transit,55014,65582.5775,8174.300000000001,112110.7525,36963.065,0.3297013370773691
Street Transit,52144,69291.88,8528.0425,118462.13500000001,39055.55,0.3296880475773968
Computer Operatns & Repro Svcs,27400,52456.7625,5603.6075,90371.635,29792.97,0.32967169400000346
Street Transit,16155,54073.1175,3726.7475000000004,87575.3825,28870.15,0.3296605641431255
Street Transit,54287,45840.142,5428.568,79507.048,26208.086000000003,0.3296322358742335
Street Transit,21708,68762.6325,7981.37,117569.955,38752.425,0.329611634196849
Street Transit,53259,47719.15333333334,5685.943333333333,81821.15333333334,26967.496666666662,0.32959076678866983
Nursing,16412,34437.235,2831.2675,57964.925,19103.51,0.3295701667862073
Nursing,33537,42159.925,4578.6675,72807.985,23995.105,0.3295669424170989
Street Transit,5555,67474.71250000001,7362.577499999999,116765.9875,38480.807499999995,0.32955493567850824
"Clerical, Secretarial & Steno",24325,57828.2475,3330.8125,92167.29500000001,30372.235,0.32953375706643007
Street Transit,20988,67494.305,7234.6325,118197.705,38949.774999999994,0.32953072142982803
Purchasing & Storekeeping,40149,30169.35,2934.0,56330.9,18562.74,0.32953032882485456
Street Transit,35458,69492.305,7099.857500000001,122942.7875,40507.375,0.32948150781110275
Street Transit,18438,42855.305,6711.0775,77303.775,25467.5775,0.32944804441956427
Street Transit,30869,44863.205,3392.9475,74738.25749999999,24622.309999999998,0.32944720446553094
Housekeeping & Laundry,39342,25250.3975,1445.4525,40476.1525,13334.6075,0.3294435532132161
Med Therapy & Auxiliary,377,24989.775,5880.95,50403.86,16604.715,0.32943340053718106
Street Transit,10613,29966.0875,2871.5625,49530.182499999995,16314.65,0.32938804536001864
Housekeeping & Laundry,31947,27041.75,2272.64,49359.025,16256.94,0.3293610439023056
Protection & Apprehension,6578,50683.986666666664,5046.326666666667,88796.84666666668,29242.203333333335,0.3293157857632632
Street Transit,43616,67880.86,7747.637500000001,116831.435,38469.94,0.32927730451996934
Street Transit,10665,27202.053999999996,2615.8460000000005,45503.628,14983.13,0.32927330541643846
Street Transit,46965,57196.1625,7395.9875,98220.125,32340.29,0.32926337652288673
Street Transit,26556,26966.638,2424.262,47696.195999999996,15702.967999999999,0.3292289389283791
Street Transit,14131,46849.3075,4632.04,78823.2225,25949.47,0.32921097586437803
Street Transit,18850,69355.195,7749.29,119737.3925,39416.5025,0.3291912549373413
Dietary & Food,24216,29167.5525,1677.9775,47330.19,15580.195,0.32918090968998853
Street Transit,9192,67408.11499999999,7846.7525000000005,114557.32750000001,37709.255,0.32917366198159603
Human Services,19550,23069.224,1341.476,36616.038,12052.996000000001,0.3291725882521752
Computer Operatns & Repro Svcs,48593,23091.298333333336,1808.625,37927.61833333334,12484.631666666666,0.329169935136537
Street Transit,27406,62129.14750000001,7931.612499999999,106733.17,35131.39,0.3291515655348754
Street Transit,35037,51806.933999999994,3092.4700000000003,84120.538,27687.548000000003,0.32914135665656347
Street Transit,37231,28992.445,2854.5675,47858.825,15752.25,0.32913992351462873
Street Transit,15081,69296.53749999999,7853.45,120960.3775,39811.1225,0.32912531626317054
Computer Operatns & Repro Svcs,51741,39084.63,5105.863333333334,68661.22666666667,22597.436666666665,0.32911495706844346
Street Transit,34719,57455.665,4557.594999999999,102959.685,33885.055,0.32910993268870237
Street Transit,17971,62687.255,7581.577499999999,105710.69750000001,34790.3325,0.3291089106663022
Street Transit,25099,31425.699999999997,2277.0125,51644.7225,16995.865,0.32909199967140884
Street Transit,30863,69069.15250000001,7694.535,121275.88249999999,39910.8275,0.3290912148175875
Street Transit,42486,69447.7225,8155.7725,119898.9,39452.1825,0.3290454082564561
Street Transit,6716,53452.100000000006,5340.9225,89330.95749999999,29393.647500000003,0.3290421184615647
Street Transit,3098,48235.66,4911.145,80348.0025,26435.822500000002,0.32901654898016913
Street Transit,20030,57600.9275,3958.9075,92489.11499999999,30428.365,0.32899401188993976
Street Transit,3401,14139.043333333333,761.3033333333333,25240.14,8303.803333333333,0.32899196808469894
Street Transit,10942,36953.9225,3328.38,61762.744999999995,20318.6075,0.3289783752325127
Street Transit,53420,63037.572499999995,8225.9475,106853.12999999999,35149.97,0.32895592295705334
Correction & Detention,30359,24855.692499999997,5077.3775,45272.475,14892.62,0.32895528684923897
Street Transit,44307,67810.2475,8327.05,116616.3725,38360.832500000004,0.3289489432540873
Semi-Skilled & General Labor,2542,42950.62,3335.4666666666667,72847.40000000001,23961.516666666666,0.32892754808911046
Human Services,41782,55830.253333333334,3647.1299999999997,89869.58,29559.426666666666,0.3289147080320912
Housekeeping & Laundry,8632,42073.5,5693.74,76304.9,25096.98,0.3289039104959184
Street Transit,36077,48442.5925,5029.41,80824.575,26583.0625,0.32889826516254494
Housekeeping & Laundry,42939,46758.722499999996,8347.1725,82753.6875,27215.915,0.32887857716310226
Street Transit,28829,11294.949999999999,776.335,18948.399999999998,6231.65,0.3288747334867324
Street Transit,52026,64662.652500000004,7527.217500000001,109322.0925,35951.3225,0.32885688224454723
Street Transit,48731,37117.43,10198.03,72147.89,23725.016666666666,0.3288386765942381
Semi-Skilled & General Labor,22827,41983.88,4295.064,72142.264,23722.079999999998,0.3288236144072218
Street Transit,6458,47411.89750000001,6464.629999999999,85180.1325,28006.287500000002,0.3287889637880054
Street Transit,33997,68193.30249999999,7863.315,117009.7625,38471.4275,0.3287881855157171
Housekeeping & Laundry,29974,41929.2,4321.68,75457.59,24809.260000000002,0.3287841554441376
Street Transit,31162,32628.805,5105.9974999999995,58737.6575,19311.13,0.32876915460920453
Dietary & Food,5238,17700.283333333333,2011.6633333333332,34557.05,11359.723333333333,0.32872375776674606
Street Transit,46592,44859.417499999996,4320.135000000001,74093.76000000001,24355.235,0.32870831497821135
Street Transit,29482,67382.6975,9371.9825,119316.92,39219.752499999995,0.3287023542008962
Street Transit,40209,64530.095,7701.805,110551.5475,36337.6,0.32869372543156844
Street Transit,22559,50899.655,2863.6325,81110.4275,26660.3125,0.3286915544860123
Street Transit,21541,46390.23,5682.0325,78730.4375,25876.65,0.32867402775451365
Street Transit,36520,24441.1325,1698.0675,40557.807499999995,13330.289999999999,0.328673831789354
Street Transit,38290,52328.495,6643.9775,88648.725,29136.5025,0.328673678047823
Street Transit,10955,51277.030000000006,5561.695000000001,85785.0325,28194.9125,0.3286693689834529
Nursing,19554,52618.605,2781.76,86528.585,28435.18,0.32862180746397274
Street Transit,22767,59308.195,3886.1175000000003,96808.645,31812.077500000003,0.3286078169981617
Semi-Skilled & General Labor,2124,54825.64,4345.3425,90877.095,29862.61,0.3286043639489136
Street Transit,22192,49136.170000000006,4297.346666666667,86563.51666666666,28444.91333333333,0.3286016376029085
Housekeeping & Laundry,52332,9475.0,693.79,16558.13,5440.89,0.3285932650607285
Dietary & Food,3465,50794.450000000004,7497.3325,91238.205,29977.859999999997,0.32856696380644485
Housekeeping & Laundry,40993,28636.47,4229.71,51617.31,16959.12,0.32855489757215167
Street Transit,34298,7399.48,553.44,12429.074999999999,4083.2349999999997,0.32852283858613773
Street Transit,21339,47765.224,6398.018000000001,81398.49399999999,26741.081999999995,0.32852059891918883
Street Transit,34171,36022.049999999996,3972.475,62183.72749999999,20428.567499999997,0.32851950697230237
Skilled Labor,18973,48977.670000000006,2500.47,77035.87,25307.53,0.32851618343506733
Street Transit,51335,67575.015,8468.5025,116651.51999999999,38318.3175,0.32848536821466195
Street Transit,38170,15757.8775,1448.7875,26177.91,8598.6275,0.32846883116337405
Street Transit,27708,50833.88,5816.766,87158.57800000001,28626.597999999998,0.32844269212377464
Street Transit,41551,36036.71000000001,6022.909999999999,65369.387500000004,21470.095,0.3284426521512076
Human Services,18381,49454.715000000004,4333.6125,80898.66500000001,26568.2425,0.3284138557787078
Street Transit,52252,59310.27,4758.923333333333,100822.99666666666,33111.11666666667,0.32840837667358896
Protection & Apprehension,131,53295.3125,5420.4175,89988.3725,29551.8075,0.32839584358523655
Street Transit,2695,37899.06,10270.065,73966.97,24290.39,0.328395093107099
Street Transit,26605,47094.003333333334,5274.416666666667,82927.79333333332,27231.876666666667,0.3283805775128548
Street Transit,28108,63447.625,7553.787499999999,114118.58,37469.7925,0.32834085825463305
Street Transit,23816,69347.87,9027.4925,118481.4775,38902.020000000004,0.32833841053341023
Street Transit,42312,56928.5175,6349.015,97390.505,31976.940000000002,0.3283373466438027
Street Transit,13185,67940.4525,8337.955,118659.23250000001,38951.78,0.328265902107533
Street Transit,33226,68334.28749999999,8708.634999999998,118136.8425,38779.745,0.3282612280753991
Street Transit,3560,65030.14000000001,8158.39,110006.70250000001,36110.302500000005,0.3282554760697422
"Clerical, Secretarial & Steno",38107,33506.676666666666,5053.553333333333,58538.78666666666,19211.89,0.3281907790367595
Street Transit,34480,67331.75,8124.1075,117990.3925,38722.884999999995,0.32818676317226414
Street Transit,23528,63281.255000000005,8223.927499999998,111319.185,36533.08,0.3281831429146737
Street Transit,32708,43488.833333333336,6135.573333333334,76240.39666666665,25019.039999999997,0.32815988759065134
Street Transit,21121,66864.65,8861.3475,113627.11499999999,37287.8,0.32815934823303405
Street Transit,41074,67685.61499999999,8581.4,115157.065,37788.8775,0.32815075219223416
"Clerical, Secretarial & Steno",6173,11871.06,1365.96,21863.61,7174.46,0.3281461753113964
Protection & Apprehension,40033,50734.6,6176.97,87959.61,28863.35,0.3281432239183416
Nursing,19948,48658.36,3447.0075,83054.33,27253.5875,0.3281416814752464
Street Transit,37256,61734.1975,6221.455,111324.0825,36528.5575,0.3281280804627337
Street Transit,31596,67688.2275,8153.655000000001,116191.5775,38124.505,0.32811762969652425
Street Transit,36814,60311.912500000006,4233.6075,98561.8775,32338.614999999998,0.32810469747798787
Semi-Skilled & General Labor,52101,43395.327999999994,3744.0,70912.536,23265.354,0.32808520626028664
Park & Zoo,2103,11579.825,1242.8025,19411.64,6368.4974999999995,0.3280762212775427
Street Transit,426,66638.6275,3856.175,117815.53,38652.275,0.3280745331281878
Street Transit,22898,60134.47,8410.625,106429.06,34915.8925,0.3280672825636156
Street Transit,29351,51103.295,4531.28,84046.3425,27572.0075,0.3280571965401112
Street Transit,43443,28375.6425,2461.1125,47977.662500000006,15738.95,0.32804745333310054
Protection & Apprehension,27269,52841.185,5013.2975,88777.01250000001,29122.3425,0.32803922637067784
Street Transit,28011,68941.26,8101.8625,120983.48000000001,39686.78,0.3280347035810178
Street Transit,45276,64544.83500000001,6982.237500000001,114676.385,37615.37,0.32801321736816175
Street Transit,11017,67688.4125,7582.8150000000005,118360.54000000001,38821.63,0.3279947016125475
Street Transit,20907,10905.376666666667,1080.8933333333332,18250.03,5985.84,0.3279906937139282
Human Services,3382,30959.77,1595.9850000000001,48445.245,15889.49,0.32798863954553226
Street Transit,22573,68394.70999999999,9240.465,117315.07750000001,38475.98499999999,0.32797135560005053
Street Transit,53868,18048.51,1834.83,30026.88,9847.5,0.3279561512884455
Street Transit,25907,63686.125,7957.735,111825.9875,36673.215000000004,0.3279489483605052
Semi-Skilled & General Labor,30758,42096.443999999996,2218.5420000000004,70134.238,22999.788,0.3279395150767875
Street Transit,17531,52506.24,8333.745,92642.6875,30380.504999999997,0.3279320345709962
Street Transit,9646,64756.552500000005,7365.795,108315.25,35519.1725,0.3279240227022511
Protection & Apprehension,18615,51332.9475,5610.6900000000005,87755.34,28776.0875,0.32791266605542185
Nursing,25491,26109.8375,2208.8424999999997,46881.4525,15372.682499999999,0.32790542272554374
Street Transit,50347,67372.735,5386.015000000001,119390.76750000002,39147.1375,0.3278908270691868
Nursing,12863,53104.525,3402.2625000000003,92864.5875,30447.1675,0.32786628702787274
Housekeeping & Laundry,50092,23959.4125,1574.4299999999998,39752.695,13032.385,0.32783651523500484
Street Transit,38849,53011.0025,3735.6449999999995,89544.9,29353.675,0.32780956816077744
Street Transit,27832,58100.3175,6663.615,98317.095,32227.917500000003,0.32779566462983883
"Clerical, Secretarial & Steno",37039,54428.005,6406.452499999999,92510.72,30324.199999999997,0.3277912008467775
Street Transit,13747,60286.575000000004,3489.0275,96225.5375,31535.8675,0.32772867078035284
Housekeeping & Laundry,26316,53763.75,5116.95,93964.5025,30794.222500000003,0.32772187028819744
Protection & Apprehension,51651,50710.76,7513.12,89222.93,29239.85,0.32771676518581044
Street Transit,26962,31047.475000000002,8614.87,60875.505,19947.355,0.32767457124174987
Street Transit,18521,59343.253333333334,4442.153333333333,96803.17666666668,31719.566666666666,0.32767072072324893
Semi-Skilled & General Labor,7891,55093.21000000001,3783.2675,92618.025,30348.184999999998,0.3276703967721186
Street Transit,24189,67261.9725,7922.955,118050.70749999999,38681.6775,0.32767001841136784
Street Transit,18825,41448.6575,3969.1974999999998,68574.71999999999,22469.2175,0.3276603608443462
Street Transit,21023,63836.685,8167.8175,107760.865,35308.692500000005,0.3276578422045889
"Clerical, Secretarial & Steno",37105,19094.62,967.3133333333334,30256.410000000003,9913.743333333334,0.32765762142082727
Agriculture & Horticulture,11019,38448.26,2594.118,63481.328,20800.129999999997,0.327657449132129
Computer Operatns & Repro Svcs,34116,29091.57,1469.94,46898.645000000004,15366.665,0.32765690778486245
Street Transit,982,19236.543333333335,5296.223333333333,37402.26333333333,12254.836666666668,0.3276496012407093
Protection & Apprehension,51242,47199.4925,2884.7774999999997,75506.025,24737.925,0.3276284905740966
Street Transit,1751,53134.21666666667,6460.553333333333,90739.11,29727.61,0.3276162836510078
Nursing,12324,50899.44,3492.2875000000004,84732.44499999999,27759.567499999997,0.32761438077232397
Street Transit,6291,27529.65,1664.2225,44686.6775,14639.5875,0.3276051906074243
Street Transit,43780,908.31,454.15,2026.26,663.8,0.3275986299882542
Street Transit,677,45772.5575,7127.8675,80858.39,26488.9575,0.32759689501608924
Street Transit,33415,55755.775,4239.775,91019.1525,29817.072500000002,0.3275911902168063
Street Transit,3503,51083.8775,5753.197499999999,90191.6525,29545.8475,0.3275896014877874
Street Transit,26695,66657.325,7958.5825,114893.02,37632.5775,0.327544506184971
Street Transit,28865,68969.16,8126.85,121328.995,39740.0275,0.327539410509417
Dietary & Food,19796,13507.57,2714.4866666666667,25919.309999999998,8489.56,0.3275380401715941
Nursing,43475,29013.0925,2094.63,47752.354999999996,15639.759999999998,0.32751808785137404
Nursing,31928,47003.4725,4809.2525000000005,79692.18,26099.8575,0.32750838915436875
Street Transit,7379,68569.62,7445.945,123584.99,40470.9275,0.32747445705178274
Street Transit,38110,67918.22750000001,8196.7375,120026.29000000001,39303.02,0.32745342707835084
"Clerical, Secretarial & Steno",52269,41551.5,9535.04,75959.035,24872.495000000003,0.3274461688461419
Street Transit,11380,65545.98999999999,8243.9625,113382.23249999998,37125.8575,0.32743981734527944
Street Transit,623,49953.23666666667,8621.256666666666,88168.02,28869.296666666665,0.3274350117725981
Street Transit,52591,52735.46,4973.9775,87934.525,28792.77,0.3274341903819916
Nursing,21507,13091.15,1359.4,23176.54,7588.42,0.3274181564633893
Street Transit,40638,56443.825000000004,4463.889999999999,91826.31249999999,30063.655000000002,0.32739695389597623
Agriculture & Horticulture,4855,48307.5825,3039.4750000000004,77273.855,25298.705,0.3273902279108504
Street Transit,32046,69026.2975,8149.91,122852.7825,40220.6775,0.3273892270205601
Housekeeping & Laundry,4289,40311.01,3650.085,69414.26999999999,22725.2675,0.327386105191339
Street Transit,23248,67557.535,8842.6975,114503.545,37486.1375,0.3273797112569746
Semi-Skilled & General Labor,38112,46812.728,3812.954,78487.66400000002,25693.364,0.3273554427610433
Nursing,7757,44308.01666666666,4932.233333333333,81299.23333333334,26613.066666666666,0.32734708035377125
Street Transit,51187,64131.384999999995,4874.385,106044.86750000001,34710.75,0.3273213576319476
Street Transit,28938,26963.035,2799.975,45307.84249999999,14829.8525,0.3273131467250952
Nursing,6784,35942.737499999996,3705.5175,65464.8425,21426.72,0.3273011769638032
Street Transit,9586,47403.1025,5281.335,80269.55500000001,26272.217500000002,0.3272999021858287
Street Transit,16767,42138.84,12261.835,82379.39,26962.120000000003,0.32729205690889435
Med Therapy & Auxiliary,36180,45152.600000000006,10134.0825,86147.13,28189.285,0.3272225667877734
Human Services,50837,44511.57,2626.0575,70063.4975,22925.87,0.3272156089552909
Street Transit,37558,51925.28,6334.093333333333,90575.25333333334,29636.853333333333,0.32720696042951536
Street Transit,13680,67535.7825,7182.022499999999,119874.1175,39223.515,0.3272058707752322
Street Transit,35537,67804.7225,9795.69,117178.85,38340.979999999996,0.32720051442730486
Street Transit,21568,44230.68,5137.8625,74264.675,24299.245000000003,0.3271978905179347
Protection & Apprehension,19324,50560.48,6468.49,89910.29,29417.78,0.3271903583004793
Street Transit,19414,64484.755000000005,7748.0325,113129.2125,37010.7,0.32715422641167946
Street Transit,9946,69845.26749999999,8210.8025,120880.2025,39541.10249999999,0.3271098300815636
Street Transit,6115,69218.405,8855.33,121158.53,39631.655,0.3271057762090709
Human Services,54498,34003.5175,1838.1325,53375.7975,17459.1475,0.3270985787144445
Street Transit,31943,50788.295,6932.685,88403.85,28915.5175,0.32708436906311206
Street Transit,17592,66399.6875,8682.8175,115890.5975,37904.24,0.3270691567536357
Street Transit,185,52783.2725,6536.4375,89417.38249999999,29243.385000000002,0.32704362599743964
Street Transit,31990,43905.979999999996,7232.98,78588.955,25698.79,0.3270025667092787
Street Transit,54933,54269.479999999996,7810.865,95762.1925,31312.590000000004,0.326982801693894
Street Transit,34428,62367.28,7838.38,106327.25,34764.64,0.3269588934163161
Street Transit,38501,36172.5225,5361.2675,62557.60250000001,20453.4525,0.326953906201888
Dietary & Food,8525,20415.8875,2661.63,37232.832500000004,12172.92,0.3269404765270007
Street Transit,43006,67686.67499999999,8491.8,119056.095,38922.1125,0.3269224687740682
Nursing,26970,52808.6,6235.5,92108.64749999999,30112.0625,0.32691895188234094
Street Transit,450,61733.932499999995,6265.5025000000005,107580.4,35168.21000000001,0.3269016475120004
Street Transit,40591,55931.815,4918.65,92435.2575,30214.3425,0.326870323263826
Nursing,25433,30678.315000000002,4471.955,53552.14,17503.457499999997,0.326848889698899
Street Transit,44408,68030.7425,9070.724999999999,116470.77249999999,38066.52250000001,0.32683326196707424
Street Transit,51092,50271.5975,3093.6324999999997,86385.52249999999,28232.985,0.3268254237855655
Nursing,40353,54217.8775,4718.0575,91654.205,29954.64,0.3268223209180637
Nursing,32506,16260.16,1672.2,28660.01,9366.63,0.32681879734166175
Street Transit,20812,68858.55249999999,8886.365,119998.07500000001,39216.95,0.3268131592944303
Med Therapy & Auxiliary,55110,45243.802500000005,9524.7175,86726.6,28341.82,0.32679500868245726
Protection & Apprehension,5908,31956.4625,3360.435,54332.8125,17754.4075,0.32677136859057315
Street Transit,39926,68467.2225,8631.830000000002,118191.03,38619.5575,0.3267554018270253
Semi-Skilled & General Labor,32855,42151.0,3586.8399999999997,70732.235,23111.545000000002,0.32674699166511567
Street Transit,7001,302.77,113.54,618.35,202.04,0.32674051912347374
Street Transit,22040,378.46,85.155,874.27,285.655,0.32673544785935693
Street Transit,7849,37541.7375,4317.422500000001,63358.275,20701.345,0.326734668833708
Street Transit,2701,63981.05,7205.307500000001,112423.4375,36730.83,0.32671861683645814
Street Transit,46050,52388.447499999995,6199.3675,87803.6975,28681.5625,0.3266555204010629
Street Transit,38960,21005.989999999998,2379.115,36844.82,12033.89,0.32661009064503504
Street Transit,4067,66798.1175,9087.605,117169.385,38266.955,0.3265951681832247
Street Transit,29546,50606.16,5327.9775,83974.1,27424.605,0.3265840896181084
Street Transit,36720,64161.9375,8909.395,110558.555,36104.9875,0.3265689163538724
Street Transit,44598,63161.024999999994,6482.7775,108425.855,35407.94,0.32656362267099487
Street Transit,29556,67784.80500000001,8710.377499999999,115952.59749999999,37865.5975,0.3265610112787685
"Clerical, Secretarial & Steno",2955,56593.0575,4080.5175,93325.98,30476.405,0.32655863886990527
Nursing,5086,52170.417499999996,3974.785,87849.23,28686.9825,0.32654791055083804
Street Transit,7643,35835.8,2180.92,60634.11,19798.43,0.32652297526920077
Nursing,5769,32591.333333333332,4851.156666666667,57956.94333333333,18924.256666666668,0.32652268353466773
Street Transit,7134,57444.41,8196.91,98553.5625,32179.8675,0.32652160595412266
Street Transit,780,65272.64,8794.045,114099.98500000002,37252.795,0.32649254949507656
Street Transit,32096,68541.02,7731.5075,118396.3925,38655.08500000001,0.32648870614871145
Street Transit,18147,66489.2125,9013.8825,114762.2825,37467.75,0.32648139426819084
Semi-Skilled & General Labor,3063,49424.41,4368.8550000000005,81636.61,26652.18,0.32647338001908704
Computer Operatns & Repro Svcs,6813,28820.781999999996,2182.332,48257.903999999995,15754.37,0.3264619615472732
Nursing,34192,55626.302500000005,3690.88,94492.6725,30847.9725,0.3264588849468725
"Clerical, Secretarial & Steno",25941,23821.716666666664,3066.933333333333,39921.29,13032.64,0.326458388493959
Nursing,12389,8828.78,508.91,16029.45,5232.38,0.32642292779852083
Street Transit,29711,68797.095,8725.8325,121023.475,39503.935,0.32641547435321944
Housekeeping & Laundry,13474,56829.82000000001,3683.6875000000005,90784.2475,29630.442499999997,0.3263830820429502
Street Transit,9841,52035.79666666666,7768.853333333333,89841.24333333333,29321.446666666667,0.32636955566027526
Street Transit,17161,69669.35,9639.6675,121184.29749999999,39550.810000000005,0.3263690990988334
Street Transit,38619,50285.833333333336,7481.22,88336.61666666665,28829.930000000004,0.32636443513326024
Correction & Detention,44098,27227.99,6196.42,53779.54,17551.42,0.32635868584967437
Street Transit,21975,66393.3625,8498.7625,117433.6175,38324.387500000004,0.32634937350882515
Street Transit,14624,45927.6025,5015.8925,77366.09,25248.0125,0.3263446879634217
Street Transit,19620,67336.03,7642.825,121966.4825,39802.6175,0.32634061985021173
Street Transit,17566,30845.8725,3828.4700000000003,53269.76500000001,17383.1825,0.3263236190360516
Street Transit,22467,66253.8425,8937.185,118079.795,38529.81999999999,0.32630324265044663
Street Transit,3412,46631.755,5196.2075,80587.2125,26295.807500000003,0.32630248254336885
Street Transit,34900,36025.81,10176.455,71021.845,23171.735,0.3262620817580844
Med Therapy & Auxiliary,36769,53976.5825,3963.385,89313.4275,29138.7425,0.3262526510921328
Street Transit,14688,48974.21,6120.1449999999995,83956.24250000001,27389.095,0.3262305956582085
Correction & Detention,40036,13264.02,2858.5,25640.77,8364.29,0.32621056231930634
Correction & Detention,42552,44758.957500000004,10533.3075,88888.115,28992.22,0.3261653146767709
Hospital Administration,47012,45169.5475,3067.0825,72184.43000000001,23541.600000000002,0.3261312723533316
Protection & Apprehension,44462,50856.14,5111.465,87543.9925,28550.1175,0.3261230917701178
Skilled Labor,16857,9235.6,572.08,15147.05,4939.77,0.32612092783743374
Human Services,47636,44605.8225,4022.335,72159.64000000001,23531.482500000002,0.32610310278709814
Human Services,33854,43359.395000000004,2480.1949999999997,69450.0425,22645.452500000003,0.32606823098776366
Housekeeping & Laundry,33476,29993.817499999997,1954.8,49983.274999999994,16297.1075,0.3260512141311269
Street Transit,33651,64113.6025,9031.619999999999,112147.3725,36564.68,0.32604134350093666
Human Services,51377,38079.995,1956.9,61388.705,20013.735,0.3260165693347009
"Clerical, Secretarial & Steno",43597,35654.566666666666,5068.806666666666,62890.636666666665,20503.12,0.3260122823795021
Street Transit,31887,58711.3025,4738.5125,95776.22,31224.07,0.3260106736306778
Street Transit,31102,65473.995,5286.2225,108327.7925,35315.192500000005,0.326003066110666
Street Transit,20096,57383.675,5346.7225,94553.595,30821.9625,0.3259734598139817
Street Transit,6773,49835.76666666666,7323.873333333333,85818.15333333334,27974.359999999997,0.3259725234513319
Street Transit,7016,46727.935,8298.1525,82225.855,26801.4475,0.32594914944940373
Street Transit,2298,49433.29666666666,7859.056666666666,89317.03333333333,29110.986666666664,0.3259287235618738
Street Transit,16272,51274.185,7006.5275,93296.83,30404.8225,0.32589341459940274
Street Transit,42555,38421.8925,3906.61,63832.07,20800.192499999997,0.32585802873069913
Street Transit,36304,57514.53,4658.115,93775.0,30557.067499999997,0.3258551586243668
"Clerical, Secretarial & Steno",16918,36399.683333333334,3360.07,63950.43333333333,20838.36,0.3258517403843498
Housekeeping & Laundry,18503,53782.2025,5315.192499999999,95632.04,31158.145,0.3258128238192974
Housekeeping & Laundry,34746,30706.403333333335,5111.778333333333,54234.695,17670.265000000003,0.3258110882710782
Nursing,27856,37180.340000000004,2231.633333333333,64617.58666666667,21051.61666666667,0.3257877267262019
Street Transit,13516,59673.6875,8264.7325,102186.145,33288.787500000006,0.3257661545016695
Street Transit,35710,34507.045,3687.0525000000002,57293.11,18663.21,0.32574964075086865
Street Transit,51181,57565.80999999999,6439.9625,99822.57,32516.085,0.32573880836768676
Housekeeping & Laundry,13625,56408.5775,3687.68,90749.10499999998,29558.657499999998,0.32571844647944465
Street Transit,41967,50149.2425,3412.4725,81079.6875,26406.9875,0.32569177699408375
Dietary & Food,19259,42424.625,6423.2525000000005,76249.0325,24833.254999999997,0.32568616526380184
Street Transit,19794,54331.085,7331.58,97916.4625,31889.3525,0.3256791726927431
Correction & Detention,23766,26874.15,6025.49,51920.135,16909.095,0.32567509695419705
Semi-Skilled & General Labor,335,30153.5,1921.935,48286.924999999996,15725.789999999999,0.3256738754849268
Street Transit,4656,57899.293333333335,6777.19,98619.10666666667,32114.256666666668,0.32563929802379066
Street Transit,50216,50688.354999999996,6885.634999999999,92196.225,30022.225,0.3256339942334949
Street Transit,31091,68332.87,9041.395,119964.48000000001,39061.1175,0.3256056917847683
Human Services,34551,12099.75,1617.585,20340.06,6622.724999999999,0.3256000719761888
Street Transit,19977,68071.75499999999,9063.6625,119442.64749999999,38886.427500000005,0.32556568624284726
Street Transit,36819,35878.115,3631.8549999999996,64405.205,20967.7475,0.32555982858838817
Street Transit,54224,65647.9025,3319.6025,103070.32,33554.274999999994,0.325547402976919
Housekeeping & Laundry,33509,37457.69,4720.5225,65032.155,21169.865,0.3255291939810391
"Clerical, Secretarial & Steno",7489,54609.212499999994,7480.6675,92055.12000000001,29965.239999999998,0.32551410502750955
Street Transit,24155,56301.293999999994,2968.8119999999994,90883.60800000002,29582.682,0.32550074376448607
Revenue,34106,44104.134999999995,2583.63,69216.815,22529.05,0.3254852162729533
Street Transit,13720,53037.6075,7528.932500000001,96553.3075,31425.9625,0.32547784548965353
Street Transit,20,56586.13250000001,5763.415000000001,93734.58499999999,30502.6225,0.325414813539741
Street Transit,42565,23544.4575,3499.3775,41140.275,13387.6475,0.3254146332274152
Street Transit,25838,66632.3825,6809.407499999999,116609.54000000001,37944.475,0.32539769044625333
